"customer_id";"customer_name";"city";"state";"signup_date"
1;"Arun";"Chennai";"Tamil Nadu";"2024-01-10"
2;"Priya";"Coimbatore";"Tamil Nadu";"2024-02-15"
3;"Rahul";"Bangalore";"Karnataka";"2024-03-05"
4;"Sneha";"Hyderabad";"Telangana";"2024-01-20"
5;"Vijay";"Madurai";"Tamil Nadu";"2024-04-11"
6;"Anjali";"Chennai";"Tamil Nadu";"2024-05-02"
7;"Karthik";"Salem";"Tamil Nadu";"2024-02-25"
8;"Meena";"Trichy";"Tamil Nadu";"2024-03-18"
9;"Ramesh";"Pune";"Maharashtra";"2024-01-08"
10;"Divya";"Mumbai";"Maharashtra";"2024-04-22"
11;"Suresh";"Erode";"Tamil Nadu";"2024-05-01"
12;"Lavanya";"Chennai";"Tamil Nadu";"2024-05-10"
13;"Ajith";"Vellore";"Tamil Nadu";"2024-05-12"
14;"Keerthana";"Bangalore";"Karnataka";"2024-05-15"
15;"Manoj";"Pune";"Maharashtra";"2024-05-18"
16;"Nisha";"Hyderabad";"Telangana";"2024-05-20"
17;"Kumar";"Madurai";"Tamil Nadu";"2024-05-22"
18;"Harini";"Coimbatore";"Tamil Nadu";"2024-05-24"
19;"Arvind";"Trichy";"Tamil Nadu";"2024-05-26"
20;"Pooja";"Mumbai";"Maharashtra";"2024-05-28"
21;"Ravi";"Chennai";"Tamil Nadu";"2024-06-01"
22;"Aarthi";"Coimbatore";"Tamil Nadu";"2024-06-03"
23;"Prakash";"Madurai";"Tamil Nadu";"2024-06-05"
24;"Deepa";"Salem";"Tamil Nadu";"2024-06-07"
25;"Saravanan";"Trichy";"Tamil Nadu";"2024-06-10"
26;"Gayathri";"Erode";"Tamil Nadu";"2024-06-12"
27;"Vignesh";"Chennai";"Tamil Nadu";"2024-06-15"
28;"Monika";"Bangalore";"Karnataka";"2024-06-18"
29;"Ashok";"Hyderabad";"Telangana";"2024-06-20"
30;"Preethi";"Mumbai";"Maharashtra";"2024-06-22"
31;"Dinesh";"Pune";"Maharashtra";"2024-06-25"
32;"Kavya";"Vellore";"Tamil Nadu";"2024-06-28"
33;"Senthil";"Tirunelveli";"Tamil Nadu";"2024-07-01"
34;"Revathi";"Thoothukudi";"Tamil Nadu";"2024-07-03"
35;"Bharath";"Karur";"Tamil Nadu";"2024-07-05"
36;"Janani";"Namakkal";"Tamil Nadu";"2024-07-08"
37;"Naveen";"Chennai";"Tamil Nadu";"2024-07-10"
38;"Shalini";"Coimbatore";"Tamil Nadu";"2024-07-12"
39;"Kishore";"Madurai";"Tamil Nadu";"2024-07-15"
40;"Anu";"Salem";"Tamil Nadu";"2024-07-18"
